variable,coefficient,se,t,p
const,3.332082645971793,75.17022300000556,0.044327161913189306,0.9646436208731242
env_greenery_z,-0.6425661876886235,0.7298927041683259,-0.8803570497677377,0.3786659161051642
env_open_space_z,-0.24030098082809895,0.5086625734701615,-0.4724172631548941,0.6366289846836208
env_building_z,-0.3388205447357778,0.43316139723977237,-0.7822039242066321,0.4340947386506193
env_road_z,-0.09764873172019889,0.448073353295045,-0.21793023620375762,0.827483468210876
env_active_infra_z,-0.0905382644247558,0.25540901058812027,-0.35448343899957524,0.7229766130932678
env_active_presence_z,0.023786750336769795,0.4393494155208923,0.054140848938124216,0.9568229472095995
env_vehicle_presence_z,-0.6068014032321688,0.36727871767047016,-1.65215509104615,0.09850293871862323
env_physical_boundaries_z,-0.31966305222149466,0.19955592935698893,-1.6018719827144003,0.1091839211735199
env_symbolic_us_flag_z,0.23100907330371795,0.22243043425429193,1.0385677395190378,0.29900581590805564
env_surveillance_cctv_z,0.08801006240233201,0.38300196933275726,0.22979010409700448,0.8182548747683023
visual_complexity_mean_z,0.1770031951404627,0.29775364048999564,0.59446190094999,0.5522032172048096
us_census_male_share_z,-0.0882962189488432,0.16112912360706952,-0.5479842313557349,0.5837027302827459
us_census_age_15_29_share_z,0.4128710456645926,0.29647780300137117,1.3925867012131197,0.16374480681242554
us_census_age_30_44_share_z,-0.1748945648627186,0.25857256931032824,-0.6763848359058431,0.4987963424680797
us_census_age_45_59_share_z,0.27147295509689073,0.1740969696198886,1.5593203930522523,0.11892056737815947
us_census_age_60_plus_share_z,0.11771369404678987,0.2467832379924528,0.4769922584871418,0.6333676342754149
us_census_population_density_km2_z,-0.21636957344474317,0.19038046615815293,-1.1365114174318733,0.25574258992425325
acs_median_income_z,-18.75446842228169,616.8672260945922,-0.030402763559051242,0.97574584087457
acs_racial_diversity_z,0.37047265263528384,0.23756463812057682,1.5594604296589338,0.11888744320622664
