variable,coefficient,se,t,p
const,-0.09346963446958516,0.1759731289338286,-0.5311585640142403,0.5953089040458219
env_greenery_z,-0.2139438028050544,0.18041025019367235,-1.1858738767635622,0.23567211097672958
env_open_space_z,0.04633301046218408,0.19723815533792963,0.2349089626335299,0.8142793930259767
env_building_z,-0.03071080875309581,0.14641356844537395,-0.20975384371260533,0.8338597989824356
env_road_z,-0.005887027389928169,0.19806524297976646,-0.029722667649111783,0.9762882337367916
env_active_infra_z,-0.03775298878315929,0.08136218811235998,-0.4640114733765882,0.6426395254912447
env_active_presence_z,-0.13727800003734825,0.12197574371339114,-1.1254532733976448,0.260397007150573
env_vehicle_presence_z,0.018011418922002274,0.0806787345884543,0.2232486542318654,0.8233419867257965
env_physical_boundaries_z,-0.15225723835319546,0.1263106687880081,-1.2054186698095508,0.22804171768391734
env_symbolic_us_flag_z,-0.17444411221660144,0.0777275016498279,-2.244303605723672,0.02481287372307734
env_surveillance_cctv_z,-0.004280254329793537,0.10429734530313499,-0.041038957581836746,0.9672648383500889
visual_complexity_mean_z,0.2704563826315108,0.16029077582639625,1.687286004058212,0.09154837089019674
us_census_male_share_z,-0.09844708766611639,0.09337370203606932,-1.0543342024512135,0.29172993495141153
us_census_age_15_29_share_z,0.005868557334711394,0.175593743350177,0.033421221182169635,0.973338687058055
us_census_age_30_44_share_z,-0.2540003091535155,0.11897789985251964,-2.1348528547601227,0.03277303134073938
us_census_age_45_59_share_z,-0.016008895234524895,0.12314163322837406,-0.130003921621174,0.8965633240193437
us_census_age_60_plus_share_z,0.11817166519392917,0.13592567352811127,0.8693844372931481,0.38463689244248256
us_census_population_density_km2_z,-0.07754234732643049,0.09107718900773373,-0.8513915303188162,0.3945518950562492
acs_median_income_z,0.3444440045537362,0.12196267614708828,2.824175521848447,0.004740241800915613
acs_racial_diversity_z,0.20864927595657518,0.08391525491627505,2.4864284350294983,0.012903251899348102
city_austin_texas,-0.30963053455417067,0.20554083823390645,-1.5064185648684065,0.13195975786222666
city_dallas_texas,0.6866745205799297,0.27670742439393486,2.4815905177966773,0.013079748520646414
city_houston_texas,-0.021434565957039076,0.2928961312511855,-0.0731814581007796,0.9416617211120925
