variable,coefficient,se,t,p
const,-2.2731938863700427,0.7126620796403443,-3.189721961237568,0.0014240973235811131
env_greenery_z,-0.767628494182789,0.4406030228012709,-1.7422224870414003,0.08146952062345482
env_open_space_z,-0.5209500975075075,0.4105020162058075,-1.2690561238226081,0.2044210476366689
env_building_z,0.06410109972657738,0.4602328362753097,0.13927971816472548,0.8892291162194985
env_road_z,0.10267763727957034,0.2642840672161731,0.38851240016517685,0.6976368793616249
env_active_infra_z,0.1548172584758503,0.45858448803808577,0.33759811444601806,0.735666063297405
env_active_presence_z,0.005938671600110634,0.3510198868652522,0.016918333753524178,0.9865017666398854
env_vehicle_presence_z,0.1622309108272797,0.16951974038346404,0.9570030632438643,0.33856570887319226
env_physical_boundaries_z,-1.7827592053428842,0.749183686994388,-2.3796022741699643,0.017331332840571124
env_symbolic_us_flag_z,-0.4007404093148025,0.23887397184797293,-1.67762274899438,0.09342076888590148
env_surveillance_cctv_z,-0.3504305770488249,0.6678550853016533,-0.524710501965474,0.5997844555726373
visual_complexity_mean_z,0.19195292282364262,0.5775858862610925,0.33233658818469125,0.7396351150323899
us_census_male_share_z,0.6164851866744461,0.26782115155630803,2.301853991337324,0.021343407566746953
us_census_age_15_29_share_z,-0.6442561154273069,0.3557504883644349,-1.8109774589186887,0.07014434099291837
us_census_age_30_44_share_z,-0.5147509860209598,0.2645930449940015,-1.9454441292386562,0.0517215479120197
us_census_age_45_59_share_z,-0.30940698409460354,0.28343647066853167,-1.0916272819966186,0.27499695951498315
us_census_age_60_plus_share_z,-0.1708671528497008,0.2097809221030206,-0.8145028210229253,0.4153569567905725
us_census_population_density_km2_z,-0.07398278748382854,0.3269979842866175,-0.226248451179998,0.8210081888322704
acs_median_income_z,0.2617665897605309,0.27525286335106625,0.9510040570465038,0.3416023163719887
acs_racial_diversity_z,-0.38275959041007457,0.223760103572079,-1.7105801449845042,0.08715864684461705
