variable,coefficient,se,t,p
const,-0.2066344147751926,0.20560169521760865,-1.0050229136315774,0.3148858165754461
env_greenery_z,-0.3351765793036312,0.17635171141272582,-1.9006142703044067,0.057352554967242765
env_open_space_z,-0.38567478159696766,0.1624262507017166,-2.374460901059829,0.017574597418659334
env_building_z,-0.24147548951418843,0.173886913281893,-1.3886927138831067,0.1649262107306696
env_road_z,-0.10462675947649,0.16973563893655003,-0.6164100841285383,0.5376238995175671
env_active_infra_z,0.09982872125768621,0.0712126607550588,1.4018395071777259,0.1609631779777424
env_active_presence_z,-0.04489724313503378,0.12851235849487738,-0.3493612883684134,0.72681809194668
env_vehicle_presence_z,-0.08730024733188146,0.07066628844074159,-1.2353874705771277,0.21668633361686263
env_physical_boundaries_z,-0.12583303431032616,0.12227840460129932,-1.029069971272663,0.3034467957737127
env_symbolic_us_flag_z,-0.1186733599595718,0.06227312222025103,-1.905691504271157,0.05669024219832017
env_surveillance_cctv_z,-0.03673678226741289,0.09330619915364603,-0.39372284586278067,0.693785672420565
visual_complexity_mean_z,0.06737067369198242,0.16782026838424183,0.4014453935786249,0.6880922342490675
us_census_male_share_z,0.0971754934274942,0.11177296638113698,0.869400684027061,0.38462800909163364
us_census_age_15_29_share_z,0.07541687727787019,0.1607547294709867,0.4691425099967685,0.6389677752491907
us_census_age_30_44_share_z,-0.08451204716043777,0.11143067803931919,-0.7584271104463443,0.44819533322867045
us_census_age_45_59_share_z,-0.10519274375569063,0.12057490592914022,-0.8724265048774791,0.382975746327066
us_census_age_60_plus_share_z,-0.043696158515752405,0.13405167848221403,-0.32596502341856176,0.7444508183286768
us_census_population_density_km2_z,-0.16622545746123332,0.10008308181267392,-1.6608746898137936,0.09673861649867772
acs_median_income_z,0.09502002121256523,0.13274044937639273,0.7158332042641411,0.47409434698735664
acs_racial_diversity_z,0.017888187110298232,0.1048073975322738,0.17067676071996582,0.8644779369388533
city_austin_texas,-0.526771138868127,0.22703420163965476,-2.3202281200971213,0.020328540172295316
city_dallas_texas,0.7034940126838191,0.3490439337811339,2.015488437409547,0.0438534963699058
city_houston_texas,0.4460371517375841,0.33944051177379597,1.3140362928595406,0.1888339911455179
