variable,coefficient,se,t,p
const,28.73276635197174,73.9297374787187,0.3886496467033,0.6975353355956184
env_greenery_z,-0.8315134064446593,0.4318193153907266,-1.925604938936727,0.054153721558733964
env_open_space_z,-0.9624918871813157,0.40013378044397735,-2.4054252208183007,0.016153657574907342
env_building_z,-0.27654996823848,0.3832614352459563,-0.7215700375932822,0.47055886602375185
env_road_z,-0.4147372977504741,0.37366037442068484,-1.1099311731769097,0.26702868621999254
env_active_infra_z,0.13220017130025358,0.8928927037268017,0.14805829496474734,0.8822967624155915
env_active_presence_z,-0.31982219779049603,0.17346322987393223,-1.8437463549072217,0.06522011401534943
env_vehicle_presence_z,-0.25469530717679767,0.15234090192883207,-1.6718773747038844,0.09454850513569674
env_physical_boundaries_z,-0.7516613997912382,0.31721024374720225,-2.3696000195702,0.017807337901851045
env_symbolic_us_flag_z,-0.16314016345133223,0.1837265117269617,-0.8879511286524445,0.37456704028604537
env_surveillance_cctv_z,-0.2654729381621257,0.18191595867746524,-1.459316379344189,0.14447804927874797
visual_complexity_mean_z,0.2010686977386066,0.39987253939971146,0.5028319725091672,0.6150824125887854
us_census_male_share_z,0.2052661459986489,0.2278156009204891,0.9010188291287817,0.3675783084845261
us_census_age_15_29_share_z,-0.35680392631378943,0.27928312899099006,-1.277570641674171,0.20140085768311422
us_census_age_30_44_share_z,-0.10173728608911625,0.23140661356046816,-0.4396472707662333,0.6601925982607715
us_census_age_45_59_share_z,0.17139782354445324,0.2140214782025161,0.800844032028736,0.4232219443884101
us_census_age_60_plus_share_z,-0.3641078761288746,0.3057477347035707,-1.1908767745471127,0.23370196346062622
us_census_population_density_km2_z,-0.08946789795453723,0.22997269833184233,-0.3890370404987738,0.6972487461168686
acs_median_income_z,-237.05368412532405,607.0508078691232,-0.3905005661015964,0.6961664367802876
acs_racial_diversity_z,0.6308233498886343,0.18839029948584632,3.348491677173791,0.0008125272122785983
