variable,coefficient,se,t,p
const,-0.27125379160456015,0.16296437836479488,-1.6644974461680209,0.09601306099688159
env_greenery_z,-0.023923650026019802,0.15355721276066267,-0.15579632891167203,0.8761935643959463
env_open_space_z,-0.18939669761711117,0.1703767873360241,-1.1116343991366338,0.2662953760001332
env_building_z,0.29860090882810286,0.15807174563556406,1.8890213910620697,0.05888896246564971
env_road_z,0.30917398158354636,0.1696328243123066,1.8226070504747014,0.06836292702983209
env_active_infra_z,-0.008349448068543142,0.09734020024356109,-0.0857759491726076,0.9316445257793042
env_active_presence_z,-0.12606323828385876,0.11880620965676955,-1.0610829067609742,0.2886522252657918
env_vehicle_presence_z,-0.14676211290010258,0.08300303143037618,-1.7681536489809795,0.07703522060343675
env_physical_boundaries_z,0.07602989041853554,0.13036804371930533,0.5831942265102563,0.5597625573522823
env_symbolic_us_flag_z,-0.051619964537342,0.07175525263202708,-0.7193893498230409,0.47190105705356766
env_surveillance_cctv_z,-0.19710444062922705,0.09687445674622959,-2.0346378937180307,0.04188732155519631
visual_complexity_mean_z,0.08676578339639082,0.18322023032454984,0.47356006071325735,0.6358136619705952
us_census_male_share_z,-0.03841892815449993,0.12236687603156791,-0.31396509742218726,0.753547547566999
us_census_age_15_29_share_z,0.11538285318204339,0.17436586656734088,0.6617284417732183,0.5081452735156016
us_census_age_30_44_share_z,-0.038541799415250266,0.12292142608659054,-0.313548261212817,0.7538641606199984
us_census_age_45_59_share_z,0.06333747723922246,0.11326972735922088,0.5591739180086089,0.5760430315532903
us_census_age_60_plus_share_z,-0.07281142749593368,0.14493990852356492,-0.502355964189778,0.6154171490782148
us_census_population_density_km2_z,-0.13957849511875228,0.104962751155215,-1.3297907455983962,0.1835872259160577
acs_median_income_z,0.3220922303446616,0.14894513496710893,2.1624890965105252,0.030580496632272764
acs_racial_diversity_z,-0.16163428040909122,0.08547054366723734,-1.8911109427170878,0.058609536085212195
city_austin_texas,-0.29369672241464706,0.20538386755990581,-1.4299892484446588,0.15272010489143353
city_dallas_texas,0.6117207574907287,0.30019626868532495,2.0377360457199867,0.04157633729453995
city_houston_texas,0.4777771614572094,0.2412632863561723,1.9803144053665762,0.047668211115080725
