variable,coefficient,se,t,p
const,-35.154302251912405,54.584611393569226,-0.6440332055941693,0.5195539018186235
env_greenery_z,0.21113767739503497,0.43404327020054756,0.48644384532786294,0.6266525102802326
env_open_space_z,-0.2993791785923574,0.3851265834767321,-0.7773526716585243,0.43695072737091756
env_building_z,0.39798334488385256,0.3848057217524082,1.0342448731568579,0.30102170106173853
env_road_z,-0.26324641874386356,0.2912937991922691,-0.9037144610486788,0.36614682906937457
env_active_infra_z,0.1193470747422854,0.6067312311470232,0.19670501305274854,0.8440583868933293
env_active_presence_z,-0.1716232180216713,0.19593195474728128,-0.8759327606517063,0.3810665884390301
env_vehicle_presence_z,-0.22601522547820985,0.15806710619333997,-1.4298688128177601,0.15275467452054473
env_physical_boundaries_z,-0.7745572455812856,0.34403267257214915,-2.2514060649831116,0.02435983035185847
env_symbolic_us_flag_z,0.010569206543120682,0.17926006277073295,0.058960185440960766,0.9529838203294801
env_surveillance_cctv_z,-0.06612882271469891,0.1465143185922918,-0.45134716763565513,0.6517393547366052
visual_complexity_mean_z,-0.5859204201559933,0.4087817263402242,-1.4333332005852402,0.15176263826304262
us_census_male_share_z,0.16141261221367031,0.23090443230881394,0.699045101039011,0.48452384561915707
us_census_age_15_29_share_z,-0.1414851652656816,0.3865243137367906,-0.3660446710268995,0.7143317425817226
us_census_age_30_44_share_z,-0.04497854318996716,0.21762457544594777,-0.206679521822381,0.8362601513119942
us_census_age_45_59_share_z,0.24436058787757223,0.21215303198894034,1.1518128474841258,0.24939798735985652
us_census_age_60_plus_share_z,-0.31598439999522493,0.22639766696627198,-1.395705195329152,0.16280328917960396
us_census_population_density_km2_z,0.17688641803444885,0.2621264628381576,0.6748132795110513,0.499794402363126
acs_median_income_z,288.2865614976302,447.6060619798768,0.6440631304734,0.5195344974186781
acs_racial_diversity_z,0.15052594412305517,0.19047692632121704,0.790258153731496,0.42937701997079747
