variable,coefficient,se,t,p
const,1.392168051311667,0.6600949646332224,2.109042071068087,0.0349409503570315
env_greenery_z,0.1473060979432061,0.4298035992440533,0.34272886081524406,0.7318024485128741
env_open_space_z,1.133892524543169,0.7547903761693789,1.5022615024555077,0.1330295867978573
env_building_z,-0.4182363500683062,0.5429816862391792,-0.7702586674057297,0.44114646917484246
env_road_z,-0.02977248209945932,0.4444104445745235,-0.06699320968471692,0.9465871089439993
env_active_infra_z,0.5322076992145119,0.5624885276415176,0.9461663181754632,0.34406376255563953
env_active_presence_z,-0.28687302746660814,0.35363737046671967,-0.8112067655293387,0.41724694102007187
env_vehicle_presence_z,0.014315470606539704,0.20276594734931258,0.07060096033718079,0.9437153460834619
env_physical_boundaries_z,-0.06794113154532111,0.7088010808870197,-0.09585359472123983,0.923636850848978
env_symbolic_us_flag_z,0.4863180605506462,0.29728460931349165,1.6358669279034743,0.1018674409498012
env_surveillance_cctv_z,0.23520008678501006,0.7835497871953514,0.3001724850527857,0.7640455916317366
visual_complexity_mean_z,0.9941371002919017,0.7232301308620402,1.3745792077370438,0.16926193837024084
us_census_male_share_z,-0.3395930751971268,0.2792859223113641,-1.2159333789066846,0.2240103015263789
us_census_age_15_29_share_z,0.18903609982331857,0.3960170294413246,0.4773433609408125,0.6331176389658992
us_census_age_30_44_share_z,-0.007308069274435893,0.2639324140897773,-0.027689169212653183,0.9779100621092454
us_census_age_45_59_share_z,-0.17271874495402847,0.2460902498414717,-0.7018512316733059,0.48277194511805077
us_census_age_60_plus_share_z,0.3216196587099418,0.32170699381689005,0.9997285259300333,0.3174419032505097
us_census_population_density_km2_z,-0.08024813056487592,0.3726886763072888,-0.2153221593958756,0.8295161541006785
acs_median_income_z,-0.09300954091404381,0.2591828547222704,-0.3588568426476705,0.7197021866238642
acs_racial_diversity_z,0.1817233994783291,0.1965806837779714,0.9244214435817972,0.3552669343835426
