variable,coefficient,se,t,p
const,-45.24202678863682,121.90739376959125,-0.3711179887427144,0.7105496531839841
env_greenery_z,0.5354716066575301,0.9115504546564511,0.5874294768020722,0.5569153017000932
env_open_space_z,0.16388283975871326,0.7195682920069401,0.22775161382059989,0.8198393446685712
env_building_z,0.21228832015701574,0.5983815098945013,0.3547708554604964,0.722761263938865
env_road_z,-0.1688575418100286,0.6959026807746365,-0.24264533888857373,0.8082801552385385
env_active_infra_z,0.39813813346022237,0.3266225947584142,1.2189546585247861,0.22286140226769413
env_active_presence_z,-0.03768221495958479,0.5489026389040293,-0.06865008890251152,0.9452681477017243
env_vehicle_presence_z,1.1866790837604009,0.5760321836940535,2.060091636113649,0.039389781311007364
env_physical_boundaries_z,0.132809100506822,0.2674112117805359,0.49664746523724024,0.6194376751410798
env_symbolic_us_flag_z,-0.24345524235403018,0.2943655516840961,-0.8270507230251545,0.40820831247699807
env_surveillance_cctv_z,-0.7930315729571292,0.4568326522261789,-1.7359345245849402,0.08257541239454942
visual_complexity_mean_z,-0.186618827164367,0.49210069743850005,-0.37922894264479184,0.7045178608118519
us_census_male_share_z,-0.1316424511597739,0.20360286531133445,-0.6465648258853136,0.5179136289510119
us_census_age_15_29_share_z,-0.8181651113581443,0.4422977806163018,-1.8498060519727353,0.06434150828702123
us_census_age_30_44_share_z,-0.3582075408764734,0.34954990127382773,-1.0247679646628294,0.3054726854965052
us_census_age_45_59_share_z,-0.36588070150262386,0.2475946680069956,-1.477740633301062,0.13947721394673
us_census_age_60_plus_share_z,-0.40856098651056216,0.3054883223988655,-1.3374029596362715,0.18109113890080508
us_census_population_density_km2_z,0.08644614450592304,0.25604634364638057,0.337619132828984,0.7356502220633623
acs_median_income_z,362.84896888525407,1001.1035721786559,0.362448980274441,0.7170165430732972
acs_racial_diversity_z,0.31810465919065734,0.30389306633360186,1.0467651105979976,0.2952079254987311
