variable,coefficient,se,t,p
const,0.0023329000900682243,0.20010649065050065,0.011658292954338949,0.9906982387562718
env_greenery_z,0.07517310836184757,0.15488074355996367,0.4853612310606162,0.6274201281045474
env_open_space_z,0.21985997612914018,0.16903065738983017,1.3007106493237137,0.19335751571746418
env_building_z,-0.05109874307892316,0.15804021741866114,-0.3233274663471167,0.7464472550114698
env_road_z,-0.09092286413275572,0.17799130038923885,-0.5108275737854703,0.6094717994447574
env_active_infra_z,-0.050337865397329706,0.10461750844866989,-0.48116100396357414,0.6304020738574125
env_active_presence_z,-0.08737518206947326,0.11219014419623433,-0.7788133502765033,0.436089672320762
env_vehicle_presence_z,0.04080797611922702,0.0901367802590057,0.45273390065594044,0.6507403653286384
env_physical_boundaries_z,-0.21564919926391157,0.12399065294149864,-1.7392375485405287,0.08199298727557462
env_symbolic_us_flag_z,0.0983402768734647,0.07017676843615858,1.4013223900859313,0.16111768868743648
env_surveillance_cctv_z,0.048248989811590044,0.11668213310399136,0.41350795128667034,0.6792344980608938
visual_complexity_mean_z,-0.027857926348877335,0.1625668795721492,-0.17136286568454212,0.863938451731217
us_census_male_share_z,-0.02386852707118944,0.11098657995635214,-0.2150577761795728,0.8297222733560776
us_census_age_15_29_share_z,-0.1964394799043671,0.14287604120767622,-1.3748944766662048,0.16916416189815786
us_census_age_30_44_share_z,-0.009225389312136633,0.10803469678170172,-0.08539283755086334,0.9319490871718539
us_census_age_45_59_share_z,-0.10863948895814106,0.11042864100983854,-0.9837981158208939,0.3252147859513512
us_census_age_60_plus_share_z,0.030830555215165926,0.12377791952708019,0.24907960428613282,0.8032992057840844
us_census_population_density_km2_z,0.3179285608337473,0.09436911154591457,3.368989658009672,0.0007544425955275627
acs_median_income_z,-0.24655525694874503,0.13395067948249703,-1.8406420773771568,0.06567402727930902
acs_racial_diversity_z,-0.052191728791378816,0.08753168182478846,-0.5962610074812755,0.551000875471203
city_austin_texas,0.6000440122867053,0.22005978791548123,2.7267317576310917,0.006396501528436644
city_dallas_texas,-0.23167156961575314,0.3533806551260406,-0.6555864511970034,0.5120902454072789
city_houston_texas,-0.15565328582109056,0.3084239963269511,-0.5046730723769208,0.6137884770397686
