variable,coefficient,se,t,p
const,-1.143554550187788,0.7617429364297036,-1.5012342031652293,0.1332949963161489
env_greenery_z,-0.5574108864368391,0.37046326035873417,-1.5046320272004199,0.13241870744810277
env_open_space_z,-1.6722658034498077,0.3807199259753998,-4.392377938101042,1.1211757872858937e-05
env_building_z,0.13562459390905923,0.6020464722948211,0.22527263284526663,0.8217671883448271
env_road_z,-0.3795802448859722,0.27666282634715755,-1.3719958329698891,0.17006473503257125
env_active_infra_z,-0.7113760056961738,0.5143819703858586,-1.382972278679484,0.16667336605372385
env_active_presence_z,-0.29888595945108337,0.381485908469397,-0.7834783744707051,0.4333462480188418
env_vehicle_presence_z,0.5338141460719033,0.1751717215109259,3.047376262946688,0.002308485471214469
env_physical_boundaries_z,-1.3107636518445809,0.8594746132436195,-1.525075472442189,0.12724027415626782
env_symbolic_us_flag_z,-0.5617906588525284,0.3889116075322778,-1.4445201633790332,0.1485927120992646
env_surveillance_cctv_z,-0.23465948811439963,0.671131013585479,-0.34964780849680116,0.7266030268581836
visual_complexity_mean_z,0.13567366706478828,0.7579465513230816,0.1790016285817971,0.857936422924896
us_census_male_share_z,0.5215068125165003,0.37983685713475746,1.3729757992692153,0.16975987029111117
us_census_age_15_29_share_z,-0.008840736284186468,0.3835078015213145,-0.023052298412487758,0.9816085559149166
us_census_age_30_44_share_z,-0.001321080084037668,0.3339598676413134,-0.00395580490963831,0.9968437325688055
us_census_age_45_59_share_z,-0.05686219565623779,0.2905037492628039,-0.19573652939259473,0.8448163910926756
us_census_age_60_plus_share_z,0.053974699574350526,0.19972985641408936,0.27023851387770303,0.7869767647480426
us_census_population_density_km2_z,-0.44433400147252355,0.32992153460785234,-1.346786901924007,0.1780488743785984
acs_median_income_z,-0.10242616153433035,0.25288656462667086,-0.405028087140727,0.68545686534361
acs_racial_diversity_z,-0.12946472786855368,0.22347068732029587,-0.5793365090563067,0.5623621355449692
