variable,coefficient,se,t,p
const,-37.90364937526707,48.85866192921358,-0.7757815682750762,0.43787796864345785
env_greenery_z,0.05473009763763821,0.31302869540860884,0.17484051283604155,0.8612049539699406
env_open_space_z,0.06857284273483932,0.38866104575483384,0.1764335363263929,0.8599533597189434
env_building_z,0.19396617232772798,0.32670223632535766,0.593709349863648,0.5527065283964596
env_road_z,0.18964758557271577,0.31709575936718465,0.5980767007139669,0.5497887558501631
env_active_infra_z,0.18496703843010515,0.22245384139638233,0.8314850274961949,0.40569968303943693
env_active_presence_z,0.06689580443830032,0.20458613423335584,0.32698112552435915,0.7436821608986347
env_vehicle_presence_z,-0.08566447170471901,0.16869190293245567,-0.5078161441988067,0.6115822868134411
env_physical_boundaries_z,0.24355552746998896,0.3838176821283859,0.6345604666241519,0.5257151187115918
env_symbolic_us_flag_z,0.04226242776039999,0.10327994236785526,0.4092026659917435,0.6823909380823233
env_surveillance_cctv_z,-0.3277707975148971,0.13343736141587725,-2.456364499694737,0.014035071985356667
visual_complexity_mean_z,0.19051144491473257,0.28827463030553185,0.6608678839092305,0.5086970438274208
us_census_male_share_z,-0.09945236785633937,0.15293995313019468,-0.6502706834994096,0.5155173904175343
us_census_age_15_29_share_z,0.49859926091486817,0.20554624168018018,2.4257279376125207,0.015277718474246547
us_census_age_30_44_share_z,0.42046465413866235,0.1846909367698256,2.2765852049506576,0.02281100720737272
us_census_age_45_59_share_z,-0.08349957668001119,0.20856890792901248,-0.40034527441851836,0.6889022258277389
us_census_age_60_plus_share_z,0.3238623082388782,0.20248204905347889,1.5994618276178187,0.10971802386928756
us_census_population_density_km2_z,0.08776833377381651,0.12953052046203176,0.6775880577083248,0.4980329201587378
acs_median_income_z,310.30709780314726,400.5833269896187,0.7746380762651887,0.4385535513026694
acs_racial_diversity_z,-0.054201558214730286,0.14420249722998196,-0.37587114825263185,0.7070126907196528
