variable,coefficient,se,t,p
const,0.01614192573864517,0.1518418395650268,0.10630749591078507,0.9153383844179651
env_greenery_z,0.11981523525120773,0.1512641822788856,0.7920925723863995,0.428306700698437
env_open_space_z,-0.12155995726185453,0.20250592466962858,-0.6002785225181406,0.548320629900573
env_building_z,0.17981463392745484,0.1366748367047424,1.315638183756583,0.1882955111944954
env_road_z,-0.008592993770806101,0.1472686488333686,-0.05834910443518019,0.9534705544292302
env_active_infra_z,-0.006811189800034536,0.08203804043896858,-0.08302477440452342,0.9338318404912402
env_active_presence_z,0.06193770825990554,0.10487131442542463,0.590606769823127,0.5547839278307073
env_vehicle_presence_z,0.03405516388052737,0.07815210585448797,0.43575491035308705,0.6630145613630135
env_physical_boundaries_z,-0.07397608944967392,0.10500775404377241,-0.7044821606110825,0.4811325558214343
env_symbolic_us_flag_z,-0.023923009630691435,0.050981563044997694,-0.469248257641225,0.6388921952236442
env_surveillance_cctv_z,-0.1664373965624074,0.09718908827073353,-1.7125111421847403,0.08680251303334062
visual_complexity_mean_z,0.04218207610726772,0.1589445787631545,0.2653885803184506,0.7907101324493622
us_census_male_share_z,-0.06890606878490364,0.06155509898876298,-1.1194209727041882,0.2629605878013208
us_census_age_15_29_share_z,0.6911319458767801,0.13618132727026636,5.075085988148397,3.873208068412263e-07
us_census_age_30_44_share_z,0.46585726176448,0.10194859694700277,4.569530878454879,4.888171454778398e-06
us_census_age_45_59_share_z,0.24524851059385008,0.07339165032123648,3.341640493440238,0.00083284855587087
us_census_age_60_plus_share_z,0.3434020293324769,0.11307828198536546,3.036852199230616,0.0023906264429562557
us_census_population_density_km2_z,-0.06487980321664757,0.11040414588780414,-0.5876573084726392,0.5567623362474585
acs_median_income_z,-0.011970173284150048,0.12470780796761849,-0.09598575645927648,0.9235318850245812
acs_racial_diversity_z,0.03193152332680986,0.08180037311753822,0.3903591403052372,0.6962709973045919
city_austin_texas,0.11578294924597313,0.19620426249532566,0.5901143419283845,0.5551139942454759
city_dallas_texas,0.024899263640601528,0.2552336006069974,0.09755480305643933,0.922285815179593
city_houston_texas,-0.11669924323334065,0.21424370590251546,-0.5447032515692236,0.585957628158412
