variable,coefficient,se,t,p
const,-47.02850297928744,71.612150526487,-0.6567112233543821,0.511366616475118
env_greenery_z,0.3724675511754314,0.5255010007575119,0.7087856172272133,0.4784575244751482
env_open_space_z,0.3807198728265548,0.5327661751982637,0.7146096928636162,0.47485025368855094
env_building_z,0.7312005458438613,0.5062890859420026,1.4442352524415727,0.1486728117745953
env_road_z,-0.2067083783010247,0.3148316772033551,-0.6565679163456868,0.511458784210474
env_active_infra_z,0.9346472781159334,0.832296506850362,1.1229739286698375,0.26144856728863686
env_active_presence_z,-0.28065914113026935,0.2003778058588863,-1.400649837077866,0.16131881005630522
env_vehicle_presence_z,-0.12902651296354417,0.18469370680347827,-0.6985972353721489,0.48480377195078106
env_physical_boundaries_z,-0.05433864220118854,0.3054132536040111,-0.1779184156547517,0.858787047987062
env_symbolic_us_flag_z,0.07538620977817133,0.1570881345080858,0.4798975429572688,0.631300248446726
env_surveillance_cctv_z,-0.1687176507001295,0.12383161291921689,-1.3624764042296258,0.17304758577584045
visual_complexity_mean_z,-0.05447539671729783,0.4314151917293709,-0.12627139183237326,0.8995171009832611
us_census_male_share_z,-0.5038187516693039,0.3014766086458817,-1.6711702905650496,0.09468804668344848
us_census_age_15_29_share_z,0.9671982652628465,0.4761990136285667,2.0310799425915174,0.042246885754618484
us_census_age_30_44_share_z,0.2985333510460387,0.2625882769661845,1.1368875811789692,0.25558528433853533
us_census_age_45_59_share_z,0.6897017043994865,0.15656745248166878,4.405141001321702,1.0571509220892035e-05
us_census_age_60_plus_share_z,-0.015009522524522995,0.24637640889903478,-0.06092110276140078,0.9514220430856026
us_census_population_density_km2_z,-0.1221177619365731,0.2938683970721452,-0.415552550574511,0.6777374538145697
acs_median_income_z,392.3803018797435,588.9153668881986,0.6662762154654968,0.50523456527228
acs_racial_diversity_z,0.0848058861430034,0.1805411833359097,0.46973152926119915,0.638546838758635
