trait,level,n,r2,adj_r2,trait_short
extraversion_mean_z,overall,254,0.19075284742768828,0.11368169003984896,Extraversion
extraversion_mean_z,austin_texas,52,0.4737704889721944,0.16132171679943486,Extraversion
extraversion_mean_z,dallas_texas,51,0.5722720771745333,0.31011625350731187,Extraversion
extraversion_mean_z,houston_texas,94,0.3117802026697519,0.1350751195714449,Extraversion
extraversion_mean_z,san_antonio_texas,57,0.45748412798767946,0.1788948964137851,Extraversion
agreeableness_mean_z,overall,254,0.31989247394762077,0.2551203286092989,Agreeableness
agreeableness_mean_z,austin_texas,52,0.37114606761111013,-0.0022359547447932115,Agreeableness
agreeableness_mean_z,dallas_texas,51,0.6284994591994446,0.400805579353943,Agreeableness
agreeableness_mean_z,houston_texas,94,0.4864766552305275,0.35462606670863595,Agreeableness
agreeableness_mean_z,san_antonio_texas,57,0.3440656884240161,0.007234555452564795,Agreeableness
conscientiousness_mean_z,overall,254,0.19189213630708224,0.11492948262204239,Conscientiousness
conscientiousness_mean_z,austin_texas,52,0.5109666037515066,0.22060302472896365,Conscientiousness
conscientiousness_mean_z,dallas_texas,51,0.5558999119209891,0.28370953535643406,Conscientiousness
conscientiousness_mean_z,houston_texas,94,0.32480670589299765,0.15144626551417273,Conscientiousness
conscientiousness_mean_z,san_antonio_texas,57,0.6067333353471005,0.4047855886334494,Conscientiousness
neuroticism_mean_z,overall,254,0.19998407619750636,0.12379208345441162,Neuroticism
neuroticism_mean_z,austin_texas,52,0.35365781840141586,-0.030107851922743567,Neuroticism
neuroticism_mean_z,dallas_texas,51,0.4400752148686544,0.09689550785266843,Neuroticism
neuroticism_mean_z,houston_texas,94,0.3379630658792533,0.16798060982122365,Neuroticism
neuroticism_mean_z,san_antonio_texas,57,0.39572685455745704,0.08542442851939436,Neuroticism
openness_mean_z,overall,254,0.434623944449696,0.38077860582585743,Openness
openness_mean_z,austin_texas,52,0.7569038831442085,0.6125655637610823,Openness
openness_mean_z,dallas_texas,51,0.650667263391158,0.43656010224380326,Openness
openness_mean_z,houston_texas,94,0.448752903890263,0.3072164873215467,Openness
openness_mean_z,san_antonio_texas,57,0.6201473012637302,0.42508780731807805,Openness
