trait,level,variable,rho,se,z,rho_p,n,logll,moran_I_resid,moran_p_sim,x_spec,trait_short
extraversion_mean_z,overall,rho,-0.0050966342580664944,,,,252,-330.7313455071885,-0.010930004542783455,0.443,pooled+cityFE,Extraversion
extraversion_mean_z,austin_texas,rho,0.14291295254421205,,,,52,-49.631215894383956,-0.04931706629494386,0.366,city_only,Extraversion
extraversion_mean_z,dallas_texas,rho,0.005617149232974519,,,,49,-50.13661086176973,-0.06299162926203823,0.343,city_only,Extraversion
extraversion_mean_z,houston_texas,rho,-0.10601772476732717,,,,94,-124.0283770598285,-0.05678839987866012,0.266,city_only,Extraversion
extraversion_mean_z,san_antonio_texas,rho,-0.8063269269539404,,,,57,-42.87959061825699,-0.13660821503911583,0.061,city_only,Extraversion
agreeableness_mean_z,overall,rho,0.31409686405781695,,,,252,-302.3059755021213,0.13681776728751185,0.002,pooled+cityFE,Agreeableness
agreeableness_mean_z,austin_texas,rho,-0.25527301588359375,,,,52,-42.818870380779856,-0.09111434131020178,0.204,city_only,Agreeableness
agreeableness_mean_z,dallas_texas,rho,0.3608600621772025,,,,49,-37.68324803763092,0.0396778151593041,0.236,city_only,Agreeableness
agreeableness_mean_z,houston_texas,rho,0.4122875786563682,,,,94,-105.39517994485135,0.11516548714266515,0.048,city_only,Agreeableness
agreeableness_mean_z,san_antonio_texas,rho,-0.19151763521192303,,,,57,-58.76363674604448,-0.09956903792211086,0.148,city_only,Agreeableness
conscientiousness_mean_z,overall,rho,0.25573122298036355,,,,252,-327.56407986001796,0.1304582046777969,0.001,pooled+cityFE,Conscientiousness
conscientiousness_mean_z,austin_texas,rho,0.09436648083333861,,,,52,-42.15671643579252,0.04313703459434708,0.229,city_only,Conscientiousness
conscientiousness_mean_z,dallas_texas,rho,0.07662279547127922,,,,49,-54.53190366148597,0.06177209934799992,0.181,city_only,Conscientiousness
conscientiousness_mean_z,houston_texas,rho,0.26215847414333926,,,,94,-111.59304952707133,0.08659240383318596,0.081,city_only,Conscientiousness
conscientiousness_mean_z,san_antonio_texas,rho,-0.04075672045290978,,,,57,-49.710132666485734,-0.021524384742335857,0.48,city_only,Conscientiousness
neuroticism_mean_z,overall,rho,0.02895505727548188,,,,252,-329.20017487676535,0.015047446718113864,0.34,pooled+cityFE,Neuroticism
neuroticism_mean_z,austin_texas,rho,-0.12728133961669014,,,,52,-48.710745043415784,-0.08428134458438927,0.212,city_only,Neuroticism
neuroticism_mean_z,dallas_texas,rho,-0.6947885116548081,,,,49,-53.57672936865168,-0.263061576764001,0.003,city_only,Neuroticism
neuroticism_mean_z,houston_texas,rho,0.0015033793053011533,,,,94,-111.02140708897929,-0.04963214209820295,0.284,city_only,Neuroticism
neuroticism_mean_z,san_antonio_texas,rho,-0.08653077592373692,,,,57,-64.03665884868097,-0.015609299168590485,0.462,city_only,Neuroticism
openness_mean_z,overall,rho,0.19237594351285392,,,,252,-284.28750972268097,0.07517644543596895,0.033,pooled+cityFE,Openness
openness_mean_z,austin_texas,rho,0.1125310811689093,,,,52,-42.661100835283996,0.012426243392934268,0.341,city_only,Openness
openness_mean_z,dallas_texas,rho,0.3152320793984161,,,,49,-37.25120179486058,0.1991492521136532,0.011,city_only,Openness
openness_mean_z,houston_texas,rho,0.18551265246357157,,,,94,-96.23890126760301,0.0743345943014306,0.112,city_only,Openness
openness_mean_z,san_antonio_texas,rho,-0.23232727209720666,,,,57,-48.75057070708691,0.00401604969318369,0.41,city_only,Openness
