trait,level,variable,coefficient,se,z,p,n,logll,moran_I_resid,moran_p_sim,x_spec
agreeableness_mean_z,austin_texas,rho,-0.25527301588359375,,,,52,-42.818870380779856,-0.09111434131020178,0.204,city_only
agreeableness_mean_z,austin_texas,CONSTANT,-0.8522342179827567,,,,52,-42.818870380779856,-0.09111434131020178,0.204,city_only
agreeableness_mean_z,austin_texas,env_greenery_z,-0.2901359435399855,,,,52,-42.818870380779856,-0.09111434131020178,0.204,city_only
agreeableness_mean_z,austin_texas,env_open_space_z,-0.7103112052883204,,,,52,-42.818870380779856,-0.09111434131020178,0.204,city_only
agreeableness_mean_z,austin_texas,env_building_z,0.3458955932272045,,,,52,-42.818870380779856,-0.09111434131020178,0.204,city_only
agreeableness_mean_z,austin_texas,env_road_z,-0.24730399054448715,,,,52,-42.818870380779856,-0.09111434131020178,0.204,city_only
agreeableness_mean_z,austin_texas,env_active_infra_z,0.20873397586393752,,,,52,-42.818870380779856,-0.09111434131020178,0.204,city_only
agreeableness_mean_z,austin_texas,env_active_presence_z,-0.21026866970660738,,,,52,-42.818870380779856,-0.09111434131020178,0.204,city_only
agreeableness_mean_z,austin_texas,env_vehicle_presence_z,0.20285834515976373,,,,52,-42.818870380779856,-0.09111434131020178,0.204,city_only
agreeableness_mean_z,austin_texas,env_physical_boundaries_z,0.18600772304421498,,,,52,-42.818870380779856,-0.09111434131020178,0.204,city_only
agreeableness_mean_z,austin_texas,env_symbolic_us_flag_z,-0.02686103461448898,,,,52,-42.818870380779856,-0.09111434131020178,0.204,city_only
agreeableness_mean_z,austin_texas,env_surveillance_cctv_z,-1.4217148061804852,,,,52,-42.818870380779856,-0.09111434131020178,0.204,city_only
agreeableness_mean_z,austin_texas,visual_complexity_mean_z,-0.567979008711713,,,,52,-42.818870380779856,-0.09111434131020178,0.204,city_only
agreeableness_mean_z,austin_texas,us_census_male_share_z,0.3216134637462382,,,,52,-42.818870380779856,-0.09111434131020178,0.204,city_only
agreeableness_mean_z,austin_texas,us_census_age_15_29_share_z,-0.19697492717421025,,,,52,-42.818870380779856,-0.09111434131020178,0.204,city_only
agreeableness_mean_z,austin_texas,us_census_age_30_44_share_z,-0.3160739469398423,,,,52,-42.818870380779856,-0.09111434131020178,0.204,city_only
agreeableness_mean_z,austin_texas,us_census_age_45_59_share_z,-0.13064069561573008,,,,52,-42.818870380779856,-0.09111434131020178,0.204,city_only
agreeableness_mean_z,austin_texas,us_census_age_60_plus_share_z,-0.1709065088017227,,,,52,-42.818870380779856,-0.09111434131020178,0.204,city_only
agreeableness_mean_z,austin_texas,us_census_population_density_km2_z,-0.06117122797246234,,,,52,-42.818870380779856,-0.09111434131020178,0.204,city_only
agreeableness_mean_z,austin_texas,acs_median_income_z,0.3865314897094895,,,,52,-42.818870380779856,-0.09111434131020178,0.204,city_only
agreeableness_mean_z,austin_texas,acs_racial_diversity_z,-0.20547588568458824,,,,52,-42.818870380779856,-0.09111434131020178,0.204,city_only
agreeableness_mean_z,austin_texas,W_agreeableness_mean_z,-0.25527301588359375,,,,52,-42.818870380779856,-0.09111434131020178,0.204,city_only
