trait,level,variable,coefficient,se,z,p,n,logll,moran_I_resid,moran_p_sim,x_spec
agreeableness_mean_z,overall,rho,0.31409686405781695,,,,252,-302.3059755021213,0.13681776728751185,0.002,pooled+cityFE
agreeableness_mean_z,overall,CONSTANT,-0.10375264011705292,,,,252,-302.3059755021213,0.13681776728751185,0.002,pooled+cityFE
agreeableness_mean_z,overall,env_greenery_z,-0.18715426740276586,,,,252,-302.3059755021213,0.13681776728751185,0.002,pooled+cityFE
agreeableness_mean_z,overall,env_open_space_z,0.04540929648094471,,,,252,-302.3059755021213,0.13681776728751185,0.002,pooled+cityFE
agreeableness_mean_z,overall,env_building_z,-0.011737131773024604,,,,252,-302.3059755021213,0.13681776728751185,0.002,pooled+cityFE
agreeableness_mean_z,overall,env_road_z,0.015014002110491996,,,,252,-302.3059755021213,0.13681776728751185,0.002,pooled+cityFE
agreeableness_mean_z,overall,env_active_infra_z,-0.025637511363972437,,,,252,-302.3059755021213,0.13681776728751185,0.002,pooled+cityFE
agreeableness_mean_z,overall,env_active_presence_z,-0.1635362613446937,,,,252,-302.3059755021213,0.13681776728751185,0.002,pooled+cityFE
agreeableness_mean_z,overall,env_vehicle_presence_z,0.023202141849624304,,,,252,-302.3059755021213,0.13681776728751185,0.002,pooled+cityFE
agreeableness_mean_z,overall,env_physical_boundaries_z,-0.12340241596220923,,,,252,-302.3059755021213,0.13681776728751185,0.002,pooled+cityFE
agreeableness_mean_z,overall,env_symbolic_us_flag_z,-0.1763280546463852,,,,252,-302.3059755021213,0.13681776728751185,0.002,pooled+cityFE
agreeableness_mean_z,overall,env_surveillance_cctv_z,-0.011831478176856921,,,,252,-302.3059755021213,0.13681776728751185,0.002,pooled+cityFE
agreeableness_mean_z,overall,visual_complexity_mean_z,0.23838388183100173,,,,252,-302.3059755021213,0.13681776728751185,0.002,pooled+cityFE
agreeableness_mean_z,overall,us_census_male_share_z,-0.08814157668915198,,,,252,-302.3059755021213,0.13681776728751185,0.002,pooled+cityFE
agreeableness_mean_z,overall,us_census_age_15_29_share_z,0.04345358525815212,,,,252,-302.3059755021213,0.13681776728751185,0.002,pooled+cityFE
agreeableness_mean_z,overall,us_census_age_30_44_share_z,-0.21662322320857091,,,,252,-302.3059755021213,0.13681776728751185,0.002,pooled+cityFE
agreeableness_mean_z,overall,us_census_age_45_59_share_z,0.017247459720674513,,,,252,-302.3059755021213,0.13681776728751185,0.002,pooled+cityFE
agreeableness_mean_z,overall,us_census_age_60_plus_share_z,0.13181815793513996,,,,252,-302.3059755021213,0.13681776728751185,0.002,pooled+cityFE
agreeableness_mean_z,overall,us_census_population_density_km2_z,-0.045501401473049964,,,,252,-302.3059755021213,0.13681776728751185,0.002,pooled+cityFE
agreeableness_mean_z,overall,acs_median_income_z,0.2885121510570689,,,,252,-302.3059755021213,0.13681776728751185,0.002,pooled+cityFE
agreeableness_mean_z,overall,acs_racial_diversity_z,0.18273487321397414,,,,252,-302.3059755021213,0.13681776728751185,0.002,pooled+cityFE
agreeableness_mean_z,overall,city_austin_texas,-0.11316273353353282,,,,252,-302.3059755021213,0.13681776728751185,0.002,pooled+cityFE
agreeableness_mean_z,overall,city_dallas_texas,0.564960792119475,,,,252,-302.3059755021213,0.13681776728751185,0.002,pooled+cityFE
agreeableness_mean_z,overall,city_houston_texas,0.003307033430200026,,,,252,-302.3059755021213,0.13681776728751185,0.002,pooled+cityFE
agreeableness_mean_z,overall,W_agreeableness_mean_z,0.31409686405781695,,,,252,-302.3059755021213,0.13681776728751185,0.002,pooled+cityFE
