trait,level,variable,coefficient,se,z,p,n,logll,moran_I_resid,moran_p_sim,x_spec
extraversion_mean_z,houston_texas,rho,-0.10601772476732717,,,,94,-124.0283770598285,-0.05678839987866012,0.266,city_only
extraversion_mean_z,houston_texas,CONSTANT,-45.68478171660149,,,,94,-124.0283770598285,-0.05678839987866012,0.266,city_only
extraversion_mean_z,houston_texas,env_greenery_z,-0.2189170137605269,,,,94,-124.0283770598285,-0.05678839987866012,0.266,city_only
extraversion_mean_z,houston_texas,env_open_space_z,-0.12738455317332278,,,,94,-124.0283770598285,-0.05678839987866012,0.266,city_only
extraversion_mean_z,houston_texas,env_building_z,0.05974837038770279,,,,94,-124.0283770598285,-0.05678839987866012,0.266,city_only
extraversion_mean_z,houston_texas,env_road_z,0.3760279555095639,,,,94,-124.0283770598285,-0.05678839987866012,0.266,city_only
extraversion_mean_z,houston_texas,env_active_infra_z,0.11745877298301402,,,,94,-124.0283770598285,-0.05678839987866012,0.266,city_only
extraversion_mean_z,houston_texas,env_active_presence_z,-0.4186014658200369,,,,94,-124.0283770598285,-0.05678839987866012,0.266,city_only
extraversion_mean_z,houston_texas,env_vehicle_presence_z,0.09736120706668976,,,,94,-124.0283770598285,-0.05678839987866012,0.266,city_only
extraversion_mean_z,houston_texas,env_physical_boundaries_z,0.710314990951466,,,,94,-124.0283770598285,-0.05678839987866012,0.266,city_only
extraversion_mean_z,houston_texas,env_symbolic_us_flag_z,-0.1479812816859321,,,,94,-124.0283770598285,-0.05678839987866012,0.266,city_only
extraversion_mean_z,houston_texas,env_surveillance_cctv_z,-0.10913192878724244,,,,94,-124.0283770598285,-0.05678839987866012,0.266,city_only
extraversion_mean_z,houston_texas,visual_complexity_mean_z,0.4942822417919821,,,,94,-124.0283770598285,-0.05678839987866012,0.266,city_only
extraversion_mean_z,houston_texas,us_census_male_share_z,-0.35983413002836345,,,,94,-124.0283770598285,-0.05678839987866012,0.266,city_only
extraversion_mean_z,houston_texas,us_census_age_15_29_share_z,-0.07130576347809627,,,,94,-124.0283770598285,-0.05678839987866012,0.266,city_only
extraversion_mean_z,houston_texas,us_census_age_30_44_share_z,0.407581648539304,,,,94,-124.0283770598285,-0.05678839987866012,0.266,city_only
extraversion_mean_z,houston_texas,us_census_age_45_59_share_z,-0.08342288256271393,,,,94,-124.0283770598285,-0.05678839987866012,0.266,city_only
extraversion_mean_z,houston_texas,us_census_age_60_plus_share_z,0.10059951666588228,,,,94,-124.0283770598285,-0.05678839987866012,0.266,city_only
extraversion_mean_z,houston_texas,us_census_population_density_km2_z,-0.12956161476085498,,,,94,-124.0283770598285,-0.05678839987866012,0.266,city_only
extraversion_mean_z,houston_texas,acs_median_income_z,376.461810106614,,,,94,-124.0283770598285,-0.05678839987866012,0.266,city_only
extraversion_mean_z,houston_texas,acs_racial_diversity_z,-0.18901227345018742,,,,94,-124.0283770598285,-0.05678839987866012,0.266,city_only
extraversion_mean_z,houston_texas,W_extraversion_mean_z,-0.10601772476732717,,,,94,-124.0283770598285,-0.05678839987866012,0.266,city_only
