trait,level,variable,coefficient,se,z,p,n,logll,moran_I_resid,moran_p_sim,x_spec
extraversion_mean_z,overall,rho,-0.0050966342580664944,,,,252,-330.7313455071885,-0.010930004542783455,0.443,pooled+cityFE
extraversion_mean_z,overall,CONSTANT,-0.257372442175143,,,,252,-330.7313455071885,-0.010930004542783455,0.443,pooled+cityFE
extraversion_mean_z,overall,env_greenery_z,-0.012581103821291465,,,,252,-330.7313455071885,-0.010930004542783455,0.443,pooled+cityFE
extraversion_mean_z,overall,env_open_space_z,-0.17719855704196846,,,,252,-330.7313455071885,-0.010930004542783455,0.443,pooled+cityFE
extraversion_mean_z,overall,env_building_z,0.3338070936996314,,,,252,-330.7313455071885,-0.010930004542783455,0.443,pooled+cityFE
extraversion_mean_z,overall,env_road_z,0.3240730547355092,,,,252,-330.7313455071885,-0.010930004542783455,0.443,pooled+cityFE
extraversion_mean_z,overall,env_active_infra_z,-0.023328040989714454,,,,252,-330.7313455071885,-0.010930004542783455,0.443,pooled+cityFE
extraversion_mean_z,overall,env_active_presence_z,-0.13221038588355957,,,,252,-330.7313455071885,-0.010930004542783455,0.443,pooled+cityFE
extraversion_mean_z,overall,env_vehicle_presence_z,-0.17236530373491424,,,,252,-330.7313455071885,-0.010930004542783455,0.443,pooled+cityFE
extraversion_mean_z,overall,env_physical_boundaries_z,0.05442724745720198,,,,252,-330.7313455071885,-0.010930004542783455,0.443,pooled+cityFE
extraversion_mean_z,overall,env_symbolic_us_flag_z,-0.029412393023741542,,,,252,-330.7313455071885,-0.010930004542783455,0.443,pooled+cityFE
extraversion_mean_z,overall,env_surveillance_cctv_z,-0.22968179373490516,,,,252,-330.7313455071885,-0.010930004542783455,0.443,pooled+cityFE
extraversion_mean_z,overall,visual_complexity_mean_z,0.14414198999682745,,,,252,-330.7313455071885,-0.010930004542783455,0.443,pooled+cityFE
extraversion_mean_z,overall,us_census_male_share_z,-0.03238272105948108,,,,252,-330.7313455071885,-0.010930004542783455,0.443,pooled+cityFE
extraversion_mean_z,overall,us_census_age_15_29_share_z,0.10587990571482916,,,,252,-330.7313455071885,-0.010930004542783455,0.443,pooled+cityFE
extraversion_mean_z,overall,us_census_age_30_44_share_z,-0.04352801345804186,,,,252,-330.7313455071885,-0.010930004542783455,0.443,pooled+cityFE
extraversion_mean_z,overall,us_census_age_45_59_share_z,0.040551171805381446,,,,252,-330.7313455071885,-0.010930004542783455,0.443,pooled+cityFE
extraversion_mean_z,overall,us_census_age_60_plus_share_z,-0.07311108975501343,,,,252,-330.7313455071885,-0.010930004542783455,0.443,pooled+cityFE
extraversion_mean_z,overall,us_census_population_density_km2_z,-0.1565184644115943,,,,252,-330.7313455071885,-0.010930004542783455,0.443,pooled+cityFE
extraversion_mean_z,overall,acs_median_income_z,0.3345711726002942,,,,252,-330.7313455071885,-0.010930004542783455,0.443,pooled+cityFE
extraversion_mean_z,overall,acs_racial_diversity_z,-0.14835404512161537,,,,252,-330.7313455071885,-0.010930004542783455,0.443,pooled+cityFE
extraversion_mean_z,overall,city_austin_texas,-0.31199922979813133,,,,252,-330.7313455071885,-0.010930004542783455,0.443,pooled+cityFE
extraversion_mean_z,overall,city_dallas_texas,0.593275466626568,,,,252,-330.7313455071885,-0.010930004542783455,0.443,pooled+cityFE
extraversion_mean_z,overall,city_houston_texas,0.43726315267024735,,,,252,-330.7313455071885,-0.010930004542783455,0.443,pooled+cityFE
extraversion_mean_z,overall,W_extraversion_mean_z,-0.0050966342580664944,,,,252,-330.7313455071885,-0.010930004542783455,0.443,pooled+cityFE
