trait,level,variable,coefficient,se,z,p,n,logll,moran_I_resid,moran_p_sim,x_spec
neuroticism_mean_z,houston_texas,rho,0.0015033793053011533,,,,94,-111.02140708897929,-0.04963214209820295,0.284,city_only
neuroticism_mean_z,houston_texas,CONSTANT,-40.576906591027466,,,,94,-111.02140708897929,-0.04963214209820295,0.284,city_only
neuroticism_mean_z,houston_texas,env_greenery_z,0.21258302213787036,,,,94,-111.02140708897929,-0.04963214209820295,0.284,city_only
neuroticism_mean_z,houston_texas,env_open_space_z,0.5296167465396275,,,,94,-111.02140708897929,-0.04963214209820295,0.284,city_only
neuroticism_mean_z,houston_texas,env_building_z,0.18273905991155706,,,,94,-111.02140708897929,-0.04963214209820295,0.284,city_only
neuroticism_mean_z,houston_texas,env_road_z,0.16476788871919965,,,,94,-111.02140708897929,-0.04963214209820295,0.284,city_only
neuroticism_mean_z,houston_texas,env_active_infra_z,-0.017493707266618416,,,,94,-111.02140708897929,-0.04963214209820295,0.284,city_only
neuroticism_mean_z,houston_texas,env_active_presence_z,-0.054396397766467826,,,,94,-111.02140708897929,-0.04963214209820295,0.284,city_only
neuroticism_mean_z,houston_texas,env_vehicle_presence_z,-0.3024273253207639,,,,94,-111.02140708897929,-0.04963214209820295,0.284,city_only
neuroticism_mean_z,houston_texas,env_physical_boundaries_z,-0.732065111435614,,,,94,-111.02140708897929,-0.04963214209820295,0.284,city_only
neuroticism_mean_z,houston_texas,env_symbolic_us_flag_z,0.256095834743653,,,,94,-111.02140708897929,-0.04963214209820295,0.284,city_only
neuroticism_mean_z,houston_texas,env_surveillance_cctv_z,-0.033598048085058466,,,,94,-111.02140708897929,-0.04963214209820295,0.284,city_only
neuroticism_mean_z,houston_texas,visual_complexity_mean_z,0.14502553871474905,,,,94,-111.02140708897929,-0.04963214209820295,0.284,city_only
neuroticism_mean_z,houston_texas,us_census_male_share_z,0.32760553971260703,,,,94,-111.02140708897929,-0.04963214209820295,0.284,city_only
neuroticism_mean_z,houston_texas,us_census_age_15_29_share_z,-0.14301445907859095,,,,94,-111.02140708897929,-0.04963214209820295,0.284,city_only
neuroticism_mean_z,houston_texas,us_census_age_30_44_share_z,-0.12948481719403973,,,,94,-111.02140708897929,-0.04963214209820295,0.284,city_only
neuroticism_mean_z,houston_texas,us_census_age_45_59_share_z,-0.0323422112127114,,,,94,-111.02140708897929,-0.04963214209820295,0.284,city_only
neuroticism_mean_z,houston_texas,us_census_age_60_plus_share_z,0.06323901821318452,,,,94,-111.02140708897929,-0.04963214209820295,0.284,city_only
neuroticism_mean_z,houston_texas,us_census_population_density_km2_z,0.31381187711576436,,,,94,-111.02140708897929,-0.04963214209820295,0.284,city_only
neuroticism_mean_z,houston_texas,acs_median_income_z,330.69103919902517,,,,94,-111.02140708897929,-0.04963214209820295,0.284,city_only
neuroticism_mean_z,houston_texas,acs_racial_diversity_z,0.022958285457852532,,,,94,-111.02140708897929,-0.04963214209820295,0.284,city_only
neuroticism_mean_z,houston_texas,W_neuroticism_mean_z,0.0015033793053011533,,,,94,-111.02140708897929,-0.04963214209820295,0.284,city_only
