trait,level,variable,coefficient,se,z,p,n,logll,moran_I_resid,moran_p_sim,x_spec
neuroticism_mean_z,overall,rho,0.02895505727548188,,,,252,-329.20017487676535,0.015047446718113864,0.34,pooled+cityFE
neuroticism_mean_z,overall,CONSTANT,-0.008656665992957582,,,,252,-329.20017487676535,0.015047446718113864,0.34,pooled+cityFE
neuroticism_mean_z,overall,env_greenery_z,0.07572676120588773,,,,252,-329.20017487676535,0.015047446718113864,0.34,pooled+cityFE
neuroticism_mean_z,overall,env_open_space_z,0.22236143681662987,,,,252,-329.20017487676535,0.015047446718113864,0.34,pooled+cityFE
neuroticism_mean_z,overall,env_building_z,-0.0824264538845662,,,,252,-329.20017487676535,0.015047446718113864,0.34,pooled+cityFE
neuroticism_mean_z,overall,env_road_z,-0.051360680492394645,,,,252,-329.20017487676535,0.015047446718113864,0.34,pooled+cityFE
neuroticism_mean_z,overall,env_active_infra_z,-0.05044106645581416,,,,252,-329.20017487676535,0.015047446718113864,0.34,pooled+cityFE
neuroticism_mean_z,overall,env_active_presence_z,-0.0780099523152766,,,,252,-329.20017487676535,0.015047446718113864,0.34,pooled+cityFE
neuroticism_mean_z,overall,env_vehicle_presence_z,0.02601680500784031,,,,252,-329.20017487676535,0.015047446718113864,0.34,pooled+cityFE
neuroticism_mean_z,overall,env_physical_boundaries_z,-0.22322547971612772,,,,252,-329.20017487676535,0.015047446718113864,0.34,pooled+cityFE
neuroticism_mean_z,overall,env_symbolic_us_flag_z,0.1173596186137835,,,,252,-329.20017487676535,0.015047446718113864,0.34,pooled+cityFE
neuroticism_mean_z,overall,env_surveillance_cctv_z,0.047182414773379,,,,252,-329.20017487676535,0.015047446718113864,0.34,pooled+cityFE
neuroticism_mean_z,overall,visual_complexity_mean_z,0.03502589944799869,,,,252,-329.20017487676535,0.015047446718113864,0.34,pooled+cityFE
neuroticism_mean_z,overall,us_census_male_share_z,-0.01076592455070569,,,,252,-329.20017487676535,0.015047446718113864,0.34,pooled+cityFE
neuroticism_mean_z,overall,us_census_age_15_29_share_z,-0.19249392570313414,,,,252,-329.20017487676535,0.015047446718113864,0.34,pooled+cityFE
neuroticism_mean_z,overall,us_census_age_30_44_share_z,-0.009734102557907773,,,,252,-329.20017487676535,0.015047446718113864,0.34,pooled+cityFE
neuroticism_mean_z,overall,us_census_age_45_59_share_z,-0.130080775586087,,,,252,-329.20017487676535,0.015047446718113864,0.34,pooled+cityFE
neuroticism_mean_z,overall,us_census_age_60_plus_share_z,0.04504325726185193,,,,252,-329.20017487676535,0.015047446718113864,0.34,pooled+cityFE
neuroticism_mean_z,overall,us_census_population_density_km2_z,0.30827675090379225,,,,252,-329.20017487676535,0.015047446718113864,0.34,pooled+cityFE
neuroticism_mean_z,overall,acs_median_income_z,-0.22510747740449363,,,,252,-329.20017487676535,0.015047446718113864,0.34,pooled+cityFE
neuroticism_mean_z,overall,acs_racial_diversity_z,-0.0425421732916236,,,,252,-329.20017487676535,0.015047446718113864,0.34,pooled+cityFE
neuroticism_mean_z,overall,city_austin_texas,0.5682397551419404,,,,252,-329.20017487676535,0.015047446718113864,0.34,pooled+cityFE
neuroticism_mean_z,overall,city_dallas_texas,-0.20976093438805887,,,,252,-329.20017487676535,0.015047446718113864,0.34,pooled+cityFE
neuroticism_mean_z,overall,city_houston_texas,-0.1495054405597517,,,,252,-329.20017487676535,0.015047446718113864,0.34,pooled+cityFE
neuroticism_mean_z,overall,W_neuroticism_mean_z,0.02895505727548188,,,,252,-329.20017487676535,0.015047446718113864,0.34,pooled+cityFE
