trait,level,variable,coefficient,se,z,p,n,logll,moran_I_resid,moran_p_sim,x_spec
openness_mean_z,houston_texas,rho,0.18551265246357157,,,,94,-96.23890126760301,0.0743345943014306,0.112,city_only
openness_mean_z,houston_texas,CONSTANT,-24.953839743274745,,,,94,-96.23890126760301,0.0743345943014306,0.112,city_only
openness_mean_z,houston_texas,env_greenery_z,0.08156403157796459,,,,94,-96.23890126760301,0.0743345943014306,0.112,city_only
openness_mean_z,houston_texas,env_open_space_z,0.11523402812823724,,,,94,-96.23890126760301,0.0743345943014306,0.112,city_only
openness_mean_z,houston_texas,env_building_z,0.24701076409788314,,,,94,-96.23890126760301,0.0743345943014306,0.112,city_only
openness_mean_z,houston_texas,env_road_z,0.208080443891381,,,,94,-96.23890126760301,0.0743345943014306,0.112,city_only
openness_mean_z,houston_texas,env_active_infra_z,0.19707072618772867,,,,94,-96.23890126760301,0.0743345943014306,0.112,city_only
openness_mean_z,houston_texas,env_active_presence_z,0.06121088828099939,,,,94,-96.23890126760301,0.0743345943014306,0.112,city_only
openness_mean_z,houston_texas,env_vehicle_presence_z,-0.10352416754214949,,,,94,-96.23890126760301,0.0743345943014306,0.112,city_only
openness_mean_z,houston_texas,env_physical_boundaries_z,0.2304513425461638,,,,94,-96.23890126760301,0.0743345943014306,0.112,city_only
openness_mean_z,houston_texas,env_symbolic_us_flag_z,0.05219551906339665,,,,94,-96.23890126760301,0.0743345943014306,0.112,city_only
openness_mean_z,houston_texas,env_surveillance_cctv_z,-0.33898211742763984,,,,94,-96.23890126760301,0.0743345943014306,0.112,city_only
openness_mean_z,houston_texas,visual_complexity_mean_z,0.197847476465398,,,,94,-96.23890126760301,0.0743345943014306,0.112,city_only
openness_mean_z,houston_texas,us_census_male_share_z,-0.10835166738962478,,,,94,-96.23890126760301,0.0743345943014306,0.112,city_only
openness_mean_z,houston_texas,us_census_age_15_29_share_z,0.40693612896882386,,,,94,-96.23890126760301,0.0743345943014306,0.112,city_only
openness_mean_z,houston_texas,us_census_age_30_44_share_z,0.40073027578781834,,,,94,-96.23890126760301,0.0743345943014306,0.112,city_only
openness_mean_z,houston_texas,us_census_age_45_59_share_z,-0.07341071012352787,,,,94,-96.23890126760301,0.0743345943014306,0.112,city_only
openness_mean_z,houston_texas,us_census_age_60_plus_share_z,0.27104238155789623,,,,94,-96.23890126760301,0.0743345943014306,0.112,city_only
openness_mean_z,houston_texas,us_census_population_density_km2_z,0.07204067340659079,,,,94,-96.23890126760301,0.0743345943014306,0.112,city_only
openness_mean_z,houston_texas,acs_median_income_z,204.13768562623727,,,,94,-96.23890126760301,0.0743345943014306,0.112,city_only
openness_mean_z,houston_texas,acs_racial_diversity_z,-0.04426774262750495,,,,94,-96.23890126760301,0.0743345943014306,0.112,city_only
openness_mean_z,houston_texas,W_openness_mean_z,0.18551265246357157,,,,94,-96.23890126760301,0.0743345943014306,0.112,city_only
