trait,level,variable,coefficient,se,z,p,n,logll,moran_I_resid,moran_p_sim,x_spec
openness_mean_z,overall,rho,0.19237594351285392,,,,252,-284.28750972268097,0.07517644543596895,0.033,pooled+cityFE
openness_mean_z,overall,CONSTANT,0.053721682549744215,,,,252,-284.28750972268097,0.07517644543596895,0.033,pooled+cityFE
openness_mean_z,overall,env_greenery_z,0.1269014303180047,,,,252,-284.28750972268097,0.07517644543596895,0.033,pooled+cityFE
openness_mean_z,overall,env_open_space_z,-0.07765796622866583,,,,252,-284.28750972268097,0.07517644543596895,0.033,pooled+cityFE
openness_mean_z,overall,env_building_z,0.20171552921254565,,,,252,-284.28750972268097,0.07517644543596895,0.033,pooled+cityFE
openness_mean_z,overall,env_road_z,-0.020719813314636938,,,,252,-284.28750972268097,0.07517644543596895,0.033,pooled+cityFE
openness_mean_z,overall,env_active_infra_z,-0.013413848286133869,,,,252,-284.28750972268097,0.07517644543596895,0.033,pooled+cityFE
openness_mean_z,overall,env_active_presence_z,0.04933849977878388,,,,252,-284.28750972268097,0.07517644543596895,0.033,pooled+cityFE
openness_mean_z,overall,env_vehicle_presence_z,0.018561408562750625,,,,252,-284.28750972268097,0.07517644543596895,0.033,pooled+cityFE
openness_mean_z,overall,env_physical_boundaries_z,-0.09633184682786124,,,,252,-284.28750972268097,0.07517644543596895,0.033,pooled+cityFE
openness_mean_z,overall,env_symbolic_us_flag_z,-0.026049068020076328,,,,252,-284.28750972268097,0.07517644543596895,0.033,pooled+cityFE
openness_mean_z,overall,env_surveillance_cctv_z,-0.16990975311989365,,,,252,-284.28750972268097,0.07517644543596895,0.033,pooled+cityFE
openness_mean_z,overall,visual_complexity_mean_z,0.03091598644301999,,,,252,-284.28750972268097,0.07517644543596895,0.033,pooled+cityFE
openness_mean_z,overall,us_census_male_share_z,-0.07523670655213378,,,,252,-284.28750972268097,0.07517644543596895,0.033,pooled+cityFE
openness_mean_z,overall,us_census_age_15_29_share_z,0.6392368172697912,,,,252,-284.28750972268097,0.07517644543596895,0.033,pooled+cityFE
openness_mean_z,overall,us_census_age_30_44_share_z,0.45855221153167186,,,,252,-284.28750972268097,0.07517644543596895,0.033,pooled+cityFE
openness_mean_z,overall,us_census_age_45_59_share_z,0.23788731421839268,,,,252,-284.28750972268097,0.07517644543596895,0.033,pooled+cityFE
openness_mean_z,overall,us_census_age_60_plus_share_z,0.31234127711491233,,,,252,-284.28750972268097,0.07517644543596895,0.033,pooled+cityFE
openness_mean_z,overall,us_census_population_density_km2_z,-0.07425718537507592,,,,252,-284.28750972268097,0.07517644543596895,0.033,pooled+cityFE
openness_mean_z,overall,acs_median_income_z,-0.031154912113221557,,,,252,-284.28750972268097,0.07517644543596895,0.033,pooled+cityFE
openness_mean_z,overall,acs_racial_diversity_z,0.041575120169118795,,,,252,-284.28750972268097,0.07517644543596895,0.033,pooled+cityFE
openness_mean_z,overall,city_austin_texas,-0.021288422478584895,,,,252,-284.28750972268097,0.07517644543596895,0.033,pooled+cityFE
openness_mean_z,overall,city_dallas_texas,0.018440452259447827,,,,252,-284.28750972268097,0.07517644543596895,0.033,pooled+cityFE
openness_mean_z,overall,city_houston_texas,-0.13841079237823994,,,,252,-284.28750972268097,0.07517644543596895,0.033,pooled+cityFE
openness_mean_z,overall,W_openness_mean_z,0.19237594351285392,,,,252,-284.28750972268097,0.07517644543596895,0.033,pooled+cityFE
